name;rating;genre;year;votes;director;writer;star;country;budget;gross;company;;
Joyeux Noel;PG-13;Drama;2005;28000.0;Christian Carion;Christian Carion;Diane Kruger;France;;17709155.0;Nord-Ouest Films;;
Dirty Love;R;Comedy;2005;6800.0;John Asher;Jenny McCarthy;Jenny McCarthy;United States;;36099.0;Big Screen Entertainment Group;;
Everything Is Illuminated;PG-13;Comedy;2005;57000.0;Liev Schreiber;Jonathan Safran Foer;Elijah Wood;United States;7000000.0;3601974.0;Warner Independent Pictures (WIP);;
Thumbsucker;R;Comedy;2005;21000.0;Mike Mills;Walter Kirn;Lou Taylor Pucci;United States;4000000.0;2138742.0;Bob Yari Productions;;
Rebound;PG;Comedy;2005;13000.0;Steve Carr;Bill Wolff;Martin Lawrence;United States;33100000.0;17492014.0;Twentieth Century Fox;;
The Departed;R;Crime;2006;1200000.0;Martin Scorsese;William Monahan;Leonardo DiCaprio;United States;90000000.0;291465373.0;Warner Bros.;;
The Fast and the Furious: Tokyo Drift;PG-13;Action;2006;252000.0;Justin Lin;Chris Morgan;Lucas Black;United States;85000000.0;158964610.0;Universal Pictures;;
Talladega Nights: the Ballad of Ricky Bobby;PG-13;Comedy;2006;172000.0;Adam McKay;Will Ferrell;Will Ferrell;United States;72500000.0;163362095.0;Columbia Pictures;;
The Prestige;PG-13;Drama;2006;1200000.0;Christopher Nolan;Jonathan Nolan;Christian Bale;United Kingdom;40000000.0;109676311.0;Touchstone Pictures;;
The Devil Wears Prada;PG-13;Comedy;2006;385000.0;David Frankel;Aline Brosh McKenna;Anne Hathaway;United States;35000000.0;326706115.0;Fox 2000 Pictures;;
Casino Royale;PG-13;Action;2006;594000.0;Martin Campbell;Neal Purvis;Daniel Craig;United Kingdom;150000000.0;616502912.0;Columbia Pictures;;
Pan's Labyrinth;R;Drama;2006;631000.0;Guillermo del Toro;Guillermo del Toro;Ivana Baquero;Spain;19000000.0;83850267.0;Estudios Picasso;;
